question_age	question_sex	question_study	question_work	future_x	future_y	future_color	future_radius	past_x	past_y	past_color	past_radius	present_x	present_y	present_color	present_radius	summer_x	summer_y	summer_color	summer_width	summer_height	spring_x	spring_y	spring_color	spring_width	spring_height	winter_x	winter_y	winter_color	winter_width	winter_height	autum_x	autum_y	autum_color	autum_width	autum_height	morning_rotation	morning_angle	morning_color	night_rotation	night_angle	night_color	afternoon_rotation	afternoon_angle	afternoon_color	friday_x	friday_y	friday_width	friday_height	friday_color	monday_x	monday_y	monday_width	monday_height	monday_color	thursday_x	thursday_y	thursday_width	thursday_height	thursday_color	sunday_x	sunday_y	sunday_width	sunday_height	sunday_color	wednesday_x	wednesday_y	wednesday_width	wednesday_height	wednesday_color	tuesday_x	tuesday_y	tuesday_width	tuesday_height	tuesday_color	saturday_x	saturday_y	saturday_width	saturday_height	saturday_color	timeline_length	timeline_rotation	timeline_my_birth_pos	timeline_my_childhood_pos	timeline_my_youth_pos	timeline_today_pos	timeline_my_third_age_pos	timeline_year_1900_pos	timeline_year_2100_pos	timeline_wwii_pos	timeline_the_beatles_pos	questions_ending_represents_time	questions_ending_daynight	questions_ending_slider_size	questions_ending_slider_color	questions_ending_slider_position
36	1	1	1	547.54938871	260.45061129	6	41.54938871	242.341760736	260.788152709	3	67.378905667	384.982364797	255.982364797	1	90.9823647972	391	150	5	100	100	318.912531283	223.49261266	6	77.4573867855	73.423405051	391	295	7	100	100	462.801295213	222.218948422	1	75.6025904268	72.437896844	183.532963203	115.389106171	4	57.0720766277	125.927923372	1	298.670321568	118.457261978	3	472	313.391012134	50	265.217975732	1	174	423.976708428	50	42.0465831448	0	399	365.265624732	50	163.468750537	4	620	383.000095367	50	123.999809265	3	324	407.621292114	50	78.7574157715	4	249	416.875242249	50	58.2495155027	4	546	240.609839596	50	410.780320808	5	791.959594929	315	-0.185902778031	-0.0613811599175	0.0670070595388	0.16088847584	0.387621623605	-1.0	1.0	-0.488556613613	-0.261305272217	-10	-10	-10	-10	-10
23	0	1	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
22	0	1	1	373.016242981	279.016242981	7	208.016242981	377.874515533	279.125484467	6	83.8745155334	378.489257812	278.489257812	0	110.489257812	617.471228719	142.411061883	1	150.680738688	42.8221237659	278.505026612	140.558944189	6	149.010053225	43.117888377	108.327313011	141.499998241	7	148.654626023	42.9999964824	451.046807557	142.591085732	2	150.093615115	43.182171464	160	109.983495611	4	269.919525051	82.2751583578	0	352.093373175	167.623944616	1	316	346.8671875	50	291.734375	0	51	441.700201988	50	99.0995960236	0	238	411.632789612	50	159.265579224	0	459	360.171875	50	254.34375	0	176	422.151594081	50	134.303188162	0	113	428.75	50	124.5	0	393	320.4765625	50	354.953125	0	560.014285532	0.409248608035	0.471429026632	0.37856659959	0.0676828619663	-0.249929759822	-0.728573341891	1	-1	0.864677640323	0.639381372661	1	2	0	10	6
62	0	1	1	474	194	7	70	258	192	5	70	362.534234337	192.416795202	6	66.4859259794	298	137	5	100	100	298	217	6	100	100	216	216	4	100	100	214	138	1	100	100	314.292851072	147.791709265	1	99.5216185366	115.248314256	7	214	106.782783019	2	505	159.8046875	50	134.390625	7	205	155.464294434	50	98.8670654297	0	425	157.757446289	50	117.532470703	6	130	153	50	100	3	350	156.49861908	50	107.001144409	2	277	158	50	100	4	590	156.93265152	50	159.218833923	5	592.840619391	313.222896734	-0.544504060311	-0.455401558061	-0.322083575756	-0.137553677854	0.489073671248	-0.957618389448	0.933765213917	-0.685945543549	-0.421463000298	1	3	4	4	6
19	1	1	1	603.763183594	243.763183594	2	185.763183594	140.751953125	382.685546875	6	102.751953125	347.037778064	273.225278064	5	155.037778064	253.085296631	337.080352783	6	200.170593262	199.839294434	114.874244018	163.678764083	3	163.748488037	227.357528165	638.38657765	184.812435471	4	251.2268447	215.048699066	498.426416288	387.584639851	2	160.852832577	141.169279702	195.587974366	213.417292649	6	82.7533909751	183.984144365	3	47.9054330359	34.8447507399	4	422	255.772800446	50	465.545600891	7	618	400.947372437	50	169.976409912	0	354	263.860076904	50	444.146911621	3	563	445.875	50	80.25	4	280	346.438476562	50	278.876953125	3	205	350.496959895	50	265.99391979	4	486	278.9765625	50	418.28125	6	734.043595436	315.772728592	-0.234601213055	-0.135588345695	0.0803006302769	0.0809275097679	0.787689497027	-0.277849541553	0.984365429267	-0.891221518206	-0.513491900982	1	1	2	3	7
43	0	1	1	445	289	6	70	394	206	7	70	496	210	2	70	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
38	0	1	1	422.526259827	210.536239075	6	101.553757263	376.002878739	242.097127365	7	45.6328836214	372.343578251	262.106388179	3	171.34359351	608.909973145	88.0100097656	5	100	100	524.910018921	87.7300109863	1	100	100	441.269973755	87.4499816895	7	100	100	358.549987793	87.2699890137	2	100	100	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
45	1	1	1	422.563442745	207.436557255	6	78.5634427446	190	212	5	70	311.940882244	205.940882244	7	63.0591177563	290	250	5	100	100	654	175	6	100	100	504	373	4	100	100	114	338	2	100	100	-10	-10	-10	-10	-10	-10	-10	-10	-10	507	206.261035919	50	281.410057068	6	62	424.816772461	50	48.3664550781	0	384	182.336117725	50	147.32776455	3	738	151.761474609	50	150.477050781	2	258	193.809082031	50	136.381835938	5	129	253.422025681	50	149.155948639	3	623	198.568464956	50	304.645540792	1	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
32	0	1	1	631.117283842	253.117283842	5	96.1172838416	132.197509766	245.802490234	7	94.1975097656	375.135293007	255.864706993	6	218.135293007	300.52829361	237.671946889	5	73.0565872204	396.646508444	312.42578125	404.171875	6	579.1484375	154.34375	673.356113246	127.657199696	4	216.712226492	219.314399391	540.159423228	240.322884801	2	447.681153543	81.3542303986	135	172.65286719	6	263.688715214	148.942496586	0	359.6360507	153.3639493	7	650	309.924708758	50	354.150582485	6	368	311	50	100	7	580	309.146362603	50	187.707274795	6	296	309	50	100	7	510	311	50	100	1	441	311	50	100	5	713	310.021022797	50	355.957954407	7	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
28	1	1	1	692	320	7	70	139	318	0	70	425	318	7	70	103	104	5	100	100	598	112	5	100	100	409.423265502	114.956931837	5	101.841396242	108.9546666	248	109	5	100	100	-10	-10	-10	-10	-10	-10	-10	-10	-10	691	331	50	100	0	248	302	50	100	0	312	200	50	100	0	287	439	50	100	0	457	294	50	100	0	120	405	50	100	0	89	127	50	100	0	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
24	1	1	1	676.259856535	129.474762606	3	97.4747626059	111.645267012	435.645267012	6	49.6452670118	383	294	7	70	642	219	1	100	100	445	224	6	100	100	269	225	7	100	100	74	231	2	100	100	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
24	0	1	1	298	248	7	70	398	209	6	70	379	297	5	70	355	142	5	100	100	355	209	1	100	100	288	209	7	100	100	287	142	2	100	100	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
